Image_ID,Questions,Answers
0,দণ্ড সহ সরঞ্জামগুলিকে কীভাবে বলা হয়?,বানর বার
1,মহিলা কি করছে?,বসা
1,ওটা কি ঠাকুরমার পোষা ইঁদুর?,না
2,কেউ কি সোফায় বসে আছে?,না
2,ছেলেটা কোথায় দাঁড়িয়ে আছে?,মল
3,দুটি চিত্রের মধ্যে কোনটিতে সবুজ আছে?,ঠিক
3,বিড়ালের রং কি?,সাদা
4,পাখি কি উড়ছে?,হ্যাঁ
5,লোকেরা কি হাঁসকে অনুসরণ করছে?,না
5,ছোট মেয়েটি কি মহিলার চেয়ে এগিয়ে?,হ্যাঁ
6,সে কি খেলছে?,বানর বার
6,গাছটি কি টর্নেডোতে আছে?,না
7,ছবিতে কোন প্রাণী আছে?,কুকুর
7,কুকুরের রং কি?,বাদামী
8,মেয়েটি কি খুশি?,না
8,খাবার কোথায়?,মল
8,আপনি কি সাধারণত ডাইনিং রুমে পিকনিকের ঝুড়ি খুঁজে পান?,না
9,এখানে কয়টি ঝোপ আছে?,দুই
9,কুকুর বসে আছে?,না
10,শেল্ফে কয়টি বই আছে?,দুই
10,কত বই লাল?,দুই
11,ছেলেটি কি হরিণের নিচে মাড়িয়ে যেতে চলেছে?,না
11,ছেলে এবং হরিণ কি একই দিকে মুখ করছে?,না
13,লিলি প্যাড কয়টি?,চার
14,এটা কি মনে হচ্ছে এই লোকেরা একে অপরকে চেনে?,হ্যাঁ
14,মহিলারা কি বাচ্চাদের সাথে খেলার তারিখের পরিকল্পনা করেছিলেন?,হ্যাঁ
15,দেয়ালে কি কোন পেইন্টিং আছে?,হ্যাঁ
15,মেয়েটি কি মজার কিছু ভেবেছিল?,হ্যাঁ
16,লোকটি কি বৃদ্ধ?,হ্যাঁ
16,স্লাইডের সিঁড়িতে কয়টি দন্ড আছে?,পাঁচ
17,ঘাসের রং কি?,সবুজ
17,সিসা কিসের জন্য ব্যবহৃত হয়?,বাজানো
18,সবাই কি খুশি?,হ্যাঁ
18,কতজন প্রাপ্তবয়স্ক?,দুই
19,সে কি নিজেকে উপভোগ করছে?,হ্যাঁ
19,কুকুরেরও কি খাবার আছে?,না
20,মহিলা কি করছেন?,বসা
20,ছেলেটির পা কি বাতাসে আছে?,হ্যাঁ
21,বৃদ্ধের কি পা ভেঙে গেছে?,না
22,বিড়াল কি দৌড়াচ্ছে?,না
22,কয়টি লগ জ্বলছে?,দুই
22,যুবক কি ভয় পাচ্ছে যে বিড়ালটি পুড়ে যাবে?,হ্যাঁ
23,মহিলা কি একা?,হ্যাঁ
24,কি পুর করতে পারে?,বিড়াল
24,শিশু কি খুশি?,হ্যাঁ
25,লোকটি কি পাই খাবে?,হ্যাঁ
25,এখানে কি পুকুর আছে?,হ্যাঁ
26,বাম দিকের ভদ্রমহিলার উপরে প্রজাপতিটির রঙ কী?,নীল
26,এই নারীরা কি শত্রু?,না
27,এটি কি একটি অস্পষ্ট এলাকা?,হ্যাঁ
27,গাছের পাখি কি রেকুন থেকে লুকিয়ে আছে?,না
28,ওই কি উদ্ভিদের বিষ আইভি?,না
28,দরজা কি খোলা?,না
29,টেলিভিশন কোথায়?,টেবিল
29,টেবিলটি কি টিভি রাখার জন্য তৈরি?,না
30,দুটি মেয়ে কি একে অপরের সাথে খেলছে?,হ্যাঁ
31,ছেলেটি কি স্লাইড থেকে বৃদ্ধ থেকে নিচের দিকে স্লাইড করার জন্য?,না
31,কার বল আছে?,ছেলে
31,এটা কি রোদ আছে?,না
32,কতটি ছবি আছে?,দুই
32,ধূসর প্যান্ট পরা লোকটি কি অপরিণত?,না
33,আবহাওয়া কেমন?,রৌদ্রোজ্জ্বল
33,বেঞ্চ কি লগের মতো একই উপাদান দিয়ে তৈরি?,হ্যাঁ
34,কতটি চিত্রকর্ম ঠিক একই রকম?,তিন
34,কি ধরনের পোষা প্রাণী?,বিড়াল
